course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration
127887,Write A Feature Length Screenplay For Film Or Television,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,TRUE,200,2147,23,51,Beginner,1.5 hours
1113822,Business Strategy: Business Model Canvas Analysis with Miro,https://www.coursera.org/learn/canvas-analysis-miro,TRUE,75,2792,923,274,Beginner,39 hours
1006314,Silicon Thin Film Solar Cells,https://www.coursera.org/learn/silicon-thin-film-solar-cells,TRUE,45,2174,74,51,Advanced,2.5 hours
1210588,Finance for Managers,https://www.coursera.org/learn/operational-finance,TRUE,95,2451,11,36,Intermediate,3 hours
1011058,Retrieve Data using Single-Table SQL Queries,https://www.coursera.org/learn/single-table-sql-queries,TRUE,200,1276,45,26,Beginner,2 hours
192870,Building Test Automation Framework using Selenium and TestNG,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,TRUE,150,9221,138,25,Beginner,3 hours
739964,Doing Business in China Capstone,https://www.coursera.org/learn/doing-business-in-china-capstone,TRUE,65,1540,178,26,Advanced,1 hour
403100,"Programming Languages, Part A",https://www.coursera.org/learn/programming-languages,TRUE,95,2917,148,23,Intermediate,2.5 hours
476268,The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,https://www.coursera.org/learn/nonprofit-gov-2,TRUE,195,5172,34,38,Intermediate,2.5 hours
1167710,Business Russian Communication. Part 3,https://www.coursera.org/learn/business-russian-communication-3,TRUE,200,827,14,15,Intermediate,1 hour
592338,Agile Projects:  Developing Tasks with Taiga,https://www.coursera.org/learn/developing-agile-tasks-taiga,TRUE,200,4284,93,76,Beginner,5 hours
975046,Esports Management Capstone Project,https://www.coursera.org/learn/esports-management-capstone-project,TRUE,200,1380,42,17,Beginner,1 hour
742602,Hacking and Patching,https://www.coursera.org/learn/hacking-patching,TRUE,30,3607,21,19,Advanced,1.5 hours
794151,Business Statistics and Analysis Capstone,https://www.coursera.org/learn/business-statistics-analysis-capstone,TRUE,195,4061,52,16,Beginner,2 hours
1196544,Grab Data Fast with Vertical and Horizontal LOOKUP,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets,TRUE,200,294,19,42,Beginner,7 hours
504036,Global Health: An Interdisciplinary Overview,https://www.coursera.org/learn/global-health-overview,TRUE,75,2276,106,19,Beginner,1.5 hours
719698,Python Programming Essentials,https://www.coursera.org/learn/python-programming,TRUE,20,4919,79,16,Beginner,1.5 hours
564966,Creating Dashboards and Storytelling with Tableau,https://www.coursera.org/learn/dataviz-dashboards,TRUE,200,2666,115,52,Advanced,4 hours
606928,Parallel programming,https://www.coursera.org/learn/parprog1,TRUE,50,5354,24,23,Beginner,1.5 hours
58977,Recommendation Systems with TensorFlow on GCP,https://www.coursera.org/learn/recommendation-models-gcp,TRUE,95,8095,249,12,Advanced,35 mins
1242604,The Changing Arctic,https://www.coursera.org/learn/changing-arctic,TRUE,200,809,3,25,Not Calibrated,2 hours
798740,COVID-19 - A clinical update,https://www.coursera.org/learn/covid19clinicalupdate,TRUE,200,2295,84,39,Beginner,4 hours
506568,How to Create Text Effects in GIMP,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp,TRUE,75,10149,83,16,Beginner,2 hours
1020760,Preparing for the Google Cloud Professional Data Engineer Exam,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,TRUE,50,1916,38,23,Beginner,1 hour
859742,Multiple Regression Analysis in Public Health,https://www.coursera.org/learn/multiple-regression-analysis-public-health,TRUE,45,2507,333,40,Intermediate,2 hours
383414,General Pathophysiology,https://www.coursera.org/learn/pathophysiology,TRUE,150,5786,518,50,Intermediate,5 hours
353044,Population Health: Alternative Payment Models,https://www.coursera.org/learn/alternative-payment-models,TRUE,200,5334,373,42,Advanced,4.5 hours
447362,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,TRUE,175,4005,237,25,Advanced,2 hours
831066,"Philosophy, Science and Religion: Philosophy and Religion",https://www.coursera.org/learn/philosophy-science-religion-2,TRUE,150,2877,103,81,Intermediate,4.5 hours
1266306,Poverty & Population: How Demographics Shape Policy,https://www.coursera.org/learn/poverty-population-demographics-policy,TRUE,140,1026,25,37,Advanced,3 hours
